State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Bihar,Araria,Forbesganj,Potato,Jyoti,FAQ,01/09/2024,2200,2700,2500
Bihar,Kishanganj,Bahadurganj,Potato,Jyoti,FAQ,01/09/2024,2500,2700,2600
Bihar,Madhubani,Jainagar,Onion,Medium,FAQ,01/09/2024,4200,4400,4300
Bihar,Rohtas,Natwar,Potato,Jyoti,FAQ,01/09/2024,2400,2800,2600
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Ginger(Green),Other,FAQ,01/09/2024,3000,5000,4000
Gujarat,Amreli,Damnagar,Coriander(Leaves),Coriander,FAQ,01/09/2024,4200,5050,4750
Gujarat,"Chhota Udaipur",Bodeliu,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,01/09/2024,6800,7000,6900
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Apple,Apple,Medium,01/09/2024,6000,13000,9500
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Cucumbar(Kheera),Cucumbar,FAQ,01/09/2024,2000,3500,2750
Gujarat,Rajkot,"Gondal(Veg.market Gondal)","Green Chilli","Green Chilly",FAQ,01/09/2024,2000,5000,3500
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Potato,Potato,FAQ,01/09/2024,480,540,510
Haryana,Gurgaon,Gurgaon,Cauliflower,Other,FAQ,01/09/2024,3000,5000,4000
Haryana,Gurgaon,Gurgaon,Onion,Other,FAQ,01/09/2024,2000,4000,3000
Haryana,Gurgaon,Gurgaon,Pomegranate,Other,Large,01/09/2024,5000,10000,7500
Haryana,Hissar,Hansi,Brinjal,Other,FAQ,01/09/2024,1200,1500,1400
Haryana,Hissar,Hansi,Guava,Other,Medium,01/09/2024,3000,3500,3300
Haryana,Hissar,Hansi,Lemon,Other,FAQ,01/09/2024,5000,6000,6000
Haryana,Hissar,Hansi,Ridgeguard(Tori),Other,FAQ,01/09/2024,1500,1500,1500
Haryana,Hissar,Hansi,Spinach,Other,FAQ,01/09/2024,1000,1000,1000
Haryana,Hissar,Hissar,Banana,Other,Medium,01/09/2024,1500,1500,1500
Haryana,Hissar,Hissar,Cucumbar(Kheera),Other,FAQ,01/09/2024,2000,2200,2200
Haryana,Hissar,Hissar,Potato,Other,FAQ,01/09/2024,1800,2600,2300
