,State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
0,Bihar,Araria,Forbesganj,Potato,Jyoti,Other,01/09/2024,2200,2700,2500.0
1,Bihar,Kishanganj,Bahadurganj,Potato,Jyoti,Other,01/09/2024,2500,2700,2600.0
2,Bihar,Madhubani,Jainagar,Onion,Medium,Other,01/09/2024,4200,4400,4300.0
3,Bihar,Rohtas,Natwar,Potato,Jyoti,Other,01/09/2024,2400,2800,2600.0
4,Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Ginger(Green),Other,Other,01/09/2024,3000,5000,4000.0
5,Gujarat,Amreli,Damnagar,Coriander(Leaves),Coriander,Other,01/09/2024,4200,5050,4750.0
6,Gujarat,Chhota Udaipur,Bodeliu,Cotton,Shanker 6 (B) 30mm FIne,Other,01/09/2024,6800,7000,6900.0
7,Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,Apple,Medium,01/09/2024,6000,13000,9500.0
8,Gujarat,Rajkot,Gondal(Veg.market Gondal),Cucumbar(Kheera),Cucumbar,Other,01/09/2024,2000,3500,2750.0
9,Gujarat,Rajkot,Gondal(Veg.market Gondal),Green Chilli,Green Chilly,Other,01/09/2024,2000,5000,3500.0
10,Gujarat,Rajkot,Gondal(Veg.market Gondal),Potato,Potato,Other,01/09/2024,480,540,510.0
11,Haryana,Gurgaon,Gurgaon,Cauliflower,Other,Other,01/09/2024,3000,5000,4000.0
12,Haryana,Gurgaon,Gurgaon,Onion,Other,Other,01/09/2024,2000,4000,3000.0
13,Haryana,Gurgaon,Gurgaon,Pomegranate,Other,Large,01/09/2024,5000,10000,7500.0
14,Haryana,Hissar,Hansi,Brinjal,Other,Other,01/09/2024,1200,1500,1400.0
15,Haryana,Hissar,Hansi,Guava,Other,Medium,01/09/2024,3000,3500,3300.0
16,Haryana,Hissar,Hansi,Lemon,Other,Other,01/09/2024,5000,6000,6000.0
17,Haryana,Hissar,Hansi,Ridgeguard(Tori),Other,Other,01/09/2024,1500,1500,1500.0
18,Haryana,Hissar,Hansi,Spinach,Other,Other,01/09/2024,1000,1000,1000.0
19,Haryana,Hissar,Hissar,Banana,Other,Medium,01/09/2024,1500,1500,1500.0
20,Haryana,Hissar,Hissar,Cucumbar(Kheera),Other,Other,01/09/2024,2000,2200,2200.0
21,Haryana,Hissar,Hissar,Potato,Other,Other,01/09/2024,1800,2600,2300.0
22,Haryana,Hissar,Hissar,Pumpkin,Other,Other,01/09/2024,700,1500,1200.0
23,Haryana,Hissar,Uklana,Tomato,Other,Other,01/09/2024,2000,2000,2000.0
24,Haryana,Karnal,"New Grain Market(main), Karnal",Banana,Other,Large,01/09/2024,1500,3000,2250.0
25,Haryana,Karnal,"New Grain Market(main), Karnal",Grapes,Annabesahai,Large,01/09/2024,10000,15000,12500.0
26,Haryana,Karnal,"New Grain Market(main), Karnal",Onion,Other,Other,01/09/2024,2800,4000,3400.0
27,Haryana,Karnal,"New Grain Market(main), Karnal",Pumpkin,Other,Other,01/09/2024,1800,2000,1900.0
28,Haryana,Sonipat,Ganaur,Cucumbar(Kheera),Cucumbar,Other,01/09/2024,2500,3000,2800.0
29,Haryana,Sonipat,Ganaur,Green Chilli,Green Chilly,Other,01/09/2024,6000,7000,6500.0
30,Haryana,Sonipat,Ganaur,Lemon,Lemon,Other,01/09/2024,14000,15000,15000.0
31,Haryana,Sonipat,Ganaur,Tomato,Tomato,Other,01/09/2024,3000,4000,3500.0
32,Haryana,Sonipat,Gohana,Bhindi(Ladies Finger),Other,Other,01/09/2024,2000,2600,2200.0
33,Haryana,Sonipat,Gohana,Onion,Other,Other,01/09/2024,3000,4000,3500.0
34,Haryana,Sonipat,Gohana,Potato,Other,Other,01/09/2024,1500,2600,2500.0
35,Himachal Pradesh,Kullu,Kullu(Chauri Bihal),Apple,Apple,Medium,01/09/2024,1500,7000,5000.0
36,Himachal Pradesh,Mandi,Mandi(Takoli),Cabbage,Other,Other,01/09/2024,600,1400,1000.0
37,Himachal Pradesh,Mandi,Mandi(Takoli),Onion,Other,Other,01/09/2024,4200,4600,4500.0
38,Karnataka,Koppal,Kustagi,Cowpea (Lobia/Karamani),Cowpea (Whole),Other,01/09/2024,7050,7860,7500.0
39,Karnataka,Koppal,Kustagi,Groundnut,Gejje,Other,01/09/2024,5950,5950,5950.0
40,Kerala,Alappuzha,Harippad,Amaranthus,Other,Other,01/09/2024,4000,4500,4000.0
41,Kerala,Alappuzha,Harippad,Bitter gourd,Other,Other,01/09/2024,5000,5500,5000.0
42,Kerala,Alappuzha,Harippad,Capsicum,Other,Other,01/09/2024,7000,7500,7000.0
43,Kerala,Kannur,Kannur,Black pepper,Other,Other,01/09/2024,62000,70000,68000.0
44,Kerala,Kottayam,Kanjirappally,Banana,Banana - Ripe,Medium,01/09/2024,5500,6000,5800.0
45,Kerala,Kottayam,Kanjirappally,Bhindi(Ladies Finger),Bhindi,Other,01/09/2024,3500,4000,3800.0
46,Kerala,Kottayam,Kanjirappally,Potato,Potato,Other,01/09/2024,5000,5500,5200.0
47,Kerala,Kottayam,Kanjirappally,Pumpkin,Pumpkin,Other,01/09/2024,3500,4000,3800.0
48,Kerala,Kottayam,Kanjirappally,Tomato,Tomato,Other,01/09/2024,4500,5000,4800.0
49,Kerala,Thiruvananthapuram,Maranelloor VFPCK,Banana,Rasakathai,Medium,01/09/2024,4500,6500,5500.0
50,Kerala,Thiruvananthapuram,Parassala,Banana,Nendra Bale,Medium,01/09/2024,5000,5500,5000.0
51,Kerala,Thiruvananthapuram,Parassala,Banana,Palayamthodan,Medium,01/09/2024,3800,4000,3800.0
